is_premium,is_mid,is_budget,location_score,is_spring,is_active_market,location_size_interaction,price_per_sqm,location_code,unit_price_py,is_modern,land_area_sqm,building_age,is_gangnam,market_activity,location_score_sq,price_per_sqm_sqrt,cluster_id,cluster_avg_price,cluster_price_std,price_quartile,location_quartile,gangnam_modern,location_premium
0,0,1,70.0,0,1,1.24348,442270.0587084149,0.0,1462049.7808542645,0,511.0,24,0,8,4900.0,665.0346297061642,0,1379386778.982379,1152692162.284876,0,1,0,0.0
0,0,1,70.0,0,1,0.9159499999999998,456953.64238410594,0.0,1510590.5533358874,0,302.0,29,0,8,4900.0,675.9842027622435,0,1379386778.982379,1152692162.284876,0,1,0,0.0
0,0,1,70.0,1,1,1.3076,845070.4225352113,0.0,2793621.23152136,1,355.0,6,0,8,4900.0,919.2776634593116,0,1379386778.982379,1152692162.284876,0,2,0,0.0
0,1,0,70.0,0,0,1.2287799999999998,341186.0276198213,0.0,1127887.6946109794,0,6155.0,29,0,1,4900.0,584.1121704089218,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,0,1,70.0,0,1,4.095,907317.0731707315,0.0,2999395.2832090305,0,410.0,47,0,7,4900.0,952.5324525551513,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,0,1,4.095,877249.3036211699,0.0,2899997.697921223,0,1436.0,47,0,7,4900.0,936.6164122100199,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,1.3939799999999998,2483069.9774266365,0.0,8208495.793145906,0,443.0,37,0,7,4900.0,1575.7763094508803,0,1379386778.982379,1152692162.284876,1,1,0,0.0
1,0,0,70.0,1,1,22.80474,618880.4729355256,0.0,2045885.8609438865,1,5413.0,8,0,14,4900.0,786.6902013725133,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,0,1,6.372729999999999,620099.7861724875,0.0,2049916.648504091,0,1403.0,30,0,14,4900.0,787.464784084017,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,0,1,70.0,0,1,4.095,411522.633744856,0.0,1360405.4008094412,0,243.0,47,0,14,4900.0,641.5010785219741,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,0,1,1.386,352352.3226508764,0.0,1164801.0666144672,1,5392.33,5,0,14,4900.0,593.5935668880487,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,2.184,1165501.1655011654,0.0,3852896.4148798855,1,858.0,3,0,43,4900.0,1079.584255860174,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,1,0,70.0,0,1,2.772,822134.3873517787,0.0,2717799.6276091854,1,1265.0,6,0,43,4900.0,906.7168176182565,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,1,0,70.0,0,1,2.275,993184.0311587148,0.0,3283252.995565999,0,1027.0,47,0,43,4900.0,996.5866902375903,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,1,0,70.0,0,1,1.386,1057377.049180328,0.0,3495461.3196043894,0,610.0,20,0,43,4900.0,1028.2888938330161,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,1,0,70.0,1,1,2.60064,1018600.5314437556,0.0,3367274.484111589,0,1129.0,20,0,43,4900.0,1009.2579112614156,0,1379386778.982379,1152692162.284876,2,2,0,0.0
1,0,0,70.0,1,1,4.095,238944.39885972405,0.0,789898.8392056993,0,11821.7,47,0,5,4900.0,488.820415755852,0,1379386778.982379,1152692162.284876,3,1,0,0.7
1,0,0,70.0,0,1,8.10985,792482.1847051509,0.0,2619775.8172071106,1,4181.8,3,0,5,4900.0,890.2152462776353,0,1379386778.982379,1152692162.284876,3,3,0,0.7
1,0,0,70.0,1,1,4.095,479199.1228986113,0.0,1584129.3318962357,0,5746.2,47,0,5,4900.0,692.242820763503,0,1379386778.982379,1152692162.284876,3,0,0,0.7
1,0,0,70.0,1,1,4.095,490228.2948326621,0.0,1620589.4044054947,0,5536.7,47,0,5,4900.0,700.1637628674181,0,1379386778.982379,1152692162.284876,3,0,0,0.7
1,0,0,70.0,1,1,4.095,497408.2499482986,0.0,1644324.793217516,0,6286.1,47,0,5,4900.0,705.2724650433324,0,1379386778.982379,1152692162.284876,3,2,0,0.7
0,1,0,70.0,0,1,13.50265,307967.0140496594,0.0,1018072.7737178822,1,4211.49,3,0,14,4900.0,554.94865893131,0,1379386778.982379,1152692162.284876,2,1,0,0.0
1,0,0,70.0,0,1,6.92902,762496.4699237504,0.0,2520649.487351241,1,3541.0,3,0,14,4900.0,873.2110111100011,0,1379386778.982379,1152692162.284876,3,3,0,0.7
1,0,0,70.0,0,1,9.5928,741404.5425533972,0.0,2450924.1076145363,1,3102.22,5,0,14,4900.0,861.0490941597914,0,1379386778.982379,1152692162.284876,3,3,0,0.7
1,0,0,70.0,1,1,6.97774,914775.2558967512,0.0,3024050.432716533,0,2741.34,13,0,14,4900.0,956.4393634186912,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,0,1,9.62374,943704.2823993344,0.0,3119683.578179618,0,2150.4299999999994,14,0,14,4900.0,971.4449456347664,0,1379386778.982379,1152692162.284876,2,2,0,0.0
1,0,0,70.0,0,0,29.735579999999995,530607.1914961354,0.0,1754073.3603178032,0,5653.9,12,0,3,4900.0,728.4285767981206,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,1,0,16.2988,292226.7679719462,0.0,966038.9023865992,0,3422.0,22,0,3,4900.0,540.5809541335564,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,1,0,70.0,0,0,4.095,378126.8179173938,0.0,1250006.0096442772,0,1719.0,47,0,3,4900.0,614.9209851008451,0,1379386778.982379,1152692162.284876,1,1,0,0.0
1,0,0,70.0,0,1,9.857819999999998,1356174.1613133478,0.0,4483220.367978009,0,2381.7,13,0,6,4900.0,1164.5493382907173,0,1379386778.982379,1152692162.284876,3,1,0,0.7
